〇	zero	líng
㧑	direct	huī
㧑损	humble	huī sǔn
䁖	glance	lōu
䴉	ibis	huán
䴕	woodpecker	liè
一	one	yī
㊀	one	yī
🈩	one	yī
一一	one after another	yī yī
一丁不識	illiterate	yī dīng bù shí
一丁不識	illiterate	yī dīng bù shí
一丁不識	illiterate	yī dīng bù shí
一丁不识	illiterate	yī dīng bù shí
一丁不识	illiterate	yī dīng bù shí
一万	ten thousand	yī wàn
一下	one time	yī xià
一下子	in a short while	yī xià zi
一世	the whole world	yī shì
一丝	one thread	yī sī
一丝一毫	an iota	yī sī yī háo
一个中国政策	one China policy	yī gè zhōng guó zhèng cè
一个劲	continuously/persistently	yī gè jìn
一个样	same	yī ge yàng
一举两得	kill two birds with one stone	yī jǔ liǎng dé
一了百了	death ends all one's troubles	yī liǎo bǎi liǎo
一了百了	death ends all one's troubles	yī liǎo bǎi liǎo
一事无成	get nowhere	yī shì wú chéng
一事無成	get nowhere	yī shì wú chéng
一二	one or two/little	yī èr
一些	a few/some	yī xiē
一仍舊貫	follow the old routine	yī réng jiù guàn
一代	generation	yī dài
一会	a while	yī huì
一会儿	a while	yī huì r
一体	all concerned	yī tǐ
一体化	unification/integration	yī tǐ huà
一個中國政策	one China policy	yī gè zhōng guó zhèng cè
一個勁	continuously/persistently	yī gè jìn
一個勁兒	persistently	yī gè jìn r
一個樣	same	yī ge yàng
一億	hundred million	yī yì
一元	unitary/unary	yī yuán
一元論	monism	yī yuán lùn
一元論	monism	yī yuán lùn
一元论	monism	yī yuán lùn
一共	altogether	yī gòng
一再	repeatedly	yī zài
一决雌雄	compete for a championship	yī jué cí xióng
一准	certain	yī zhǔn
一刀切	impose uniformity	yī dāo qiē
一刀切	impose uniformity	yī dāo qiē
一分子	part	yī fèn zǐ
一切	everything/all/every	yī qiè
一切	everything/all/every	yī qiè
一切事物	everything	yī qiè shì wù
一切事物	everything	yī 切 shì wù
一切险	all risks	yī qiè xiǎn
一切险	all risks	yī qiè xiǎn
一切險	all risks	yī qiè xiǎn
一切險	all risks	yī qiè xiǎn
一刻	moment	yī kè
一劳永逸	fix for good	yī láo yǒng yì
一劳永逸	fix for good	yī láo yǒng yì
一劳永逸	fix for good	yī láo yǒng yì
一匙	spoonful	yī chí
一匹馬	one horse	yì pǐ mǎ
一匹马	one horse	yì pǐ mǎ
一十七	seventeen	yī shí qī
一千	a thousand	yī qiān
一千六百	1600	yī qiān liù bǎi
一千六百	1600	yī qiān 六 bǎi
一半	half	yī bàn
一反常态	be/act out of character	yī fǎn cháng tài
一反常態	be/act out of character	yī fǎn cháng tài
一发不可收拾	get out of hand	yī fā bù kě shōu shi
一发不可收拾	get out of hand	yī fā bù kě shōu shi
一发不可收拾	get out of hand	yī fā bù kě shōu shi
一口	mouthful	yī kǒu
一口气	one breath	yī kǒu qì
一口氣	one breath	yī kǒu qì
一句話	in a word/in short	yī jù huà
一句話	in a word/in short	yī jù huà
一句话	in a word/in short	yī jù huà
一句话	in a word/in short	yī jù huà
一同	together	yī tóng
一向	consistently/all along	yī xiàng
一味	blindly/invariably	yī wèi
一品紅	poinsettia	yī pǐn hóng
一品红	poinsettia	yī pǐn hóng
一品鍋	chafing dish	yī pǐn guō
一品锅	chafing dish	yī pǐn guō
一問三不知	know nothing	yī wèn sān bù zhī
一問三不知	know nothing	yī wèn sān bù zhī
一回事	one thing	yī huí shì
一团糟	complete mess/chaos	yī tuán zāo
一国两制	one country, two systems	yī guó liǎng zhì
一國兩制	one country, two systems	yī guó liǎng zhì
一國兩制	one country, two systems	yī guó liǎng zhì
一團糟	complete mess/chaos	yī tuán zāo
一场空	futile	yī cháng kōng
一块	one	yī kuài
一堂	in same venue	yī táng
一堆	pile	yī duī
一場空	futile	yī cháng kōng
一塊	one	yī kuài
一塊兒	together	yī kuài r
一塵不染	spotless	yī chén bù rǎn
一塵不染	spotless	yī chén bù rǎn
一壁	at the same time	yī bì
一声不吭	not say a word	yī shēng bù kēng
一声不吭	not say a word	yī shēng bù kēng
一夜	one night	yī yè
一夜情	one night stand	yī yè qíng
一大半	more than half	yī dà bàn
一大早	at dawn	yī dà zǎo
一天	one day	yī tiān
一天到晚	all day long	yī tiān dào wǎn
一夫一妻	monogamy	yī fū yī qī
一夫一妻制	monogamy	yī fū yī qī zhì
一夫多妻	polygamy	yī fū duō qī
一头	one head/one end	yī tóu
一套	suit	yī tào
一如	be just like	yī rú
一如既往	as always	yī rú jì wǎng
一如既往	as always	yī rú jì wǎng
一妻多夫	polyandry	yī qī duō fū
一字	in a row/in a line	yī zì
一定	certainly	yī dìng
一定要	must	yī dìng yào
一审	first instance	yī shěn
一家	group	yī jiā
一家之主	family head	yī jiā zhī zhǔ
一家子	the whole family	yī jiā zi
一審	first instance	yī shěn
一小部分	a small part	yī xiǎo bù fèn
一小阵儿	very brief period of time	yī xiǎo zhèn r
一小陣兒	very brief period of time	yī xiǎo zhèn r
一尘不染	spotless	yī chén bù rǎn
一尘不染	spotless	yī chén bù rǎn
一层	layer	yī céng
一層	layer	yī céng
一層	layer	yī céng
一巴掌	a slap	yī bā zhǎng
一帆风顺	sail smoothly	yī fān fēng shùn
一带	region/district	yī dài
一帶	region/district	yī dài
一干二净	thoroughly/completely	yī gān èr jìng
一年一度	annual/once a year	yī nián yī dù
一年一度	annual/once a year	yī nián yī 度
一年一度	annual/once a year	yī 年 yí dù
一年到头	all through the year	yī nián dào tóu
一年到头	all through the year	yī nián dào tóu
一年到頭	all through the year	yī nián dào tóu
一年到頭	all through the year	yī nián dào tóu
一年半	a year and a half	yī nián bàn
一年半	a year and a half	yī nián bàn
一年多	more than a year	yī nián duō
一年多	more than a year	yī nián duō
一年期	one year	yī nián qī
一年期	one year	yī nián qī
一年生	annual	yī nián shēng
一年生	annual	yī nián shēng
一并	in a bundle	yī bìng
一应	all/every	yī yīng
一度	for a time/once	yī dù
一度	for a time/once	yī dù
一径	directly	yī jìng
一律	without exception	yī lǜ
一律	without exception	yī lǜ
一徑	directly	yī jìng
一心	wholehearted	yī xīn
一心一意	wholeheartedly	yī xīn yī yì
一心二用	divided attention	yī xīn èr yòng
一总	altogether	yī zǒng
一意	stubbornly/with complete devotion	yī yì
一應	all/every	yī yīng
一手	proficiency/skill	yī shǒu
一扫而光	make a clean sweep	yī sǎo ér guāng
一把死拿	stubborn/inflexible	yī bǎ sǐ ná
一拥而入	swarm in	yī yōng ér rù
一掃而光	make a clean sweep	yī sǎo ér guāng
一排	row	yī pái
一掬同情之泪	shed tears of sympathy	yī jū tóng qíng zhī lèi
一掬同情之淚	shed tears of sympathy	yī jū tóng qíng zhī lèi
一掬同情之淚	shed tears of sympathy	yī jū tóng qíng zhī lèi
一擁而入	swarm in	yī yōng ér rù
一敗塗地	suffer a crushing defeat	yī bài tú dì
一文不名	penniless	yī wén bù míng
一文不名	penniless	yī wén bù míng
一新	make new	yī xīn
一方	region/area	yī fāng
一方面	on the one hand	yī fāng miàn
一旁	one side	yī páng
一无所知	oblivious to	yī wú suǒ zhī
一无是处	without point/merit	yī wú shì chù
一旦	when/in case/once	yī dàn
一时	temporary/a period of time	yī shí
一时半刻	a short time	yī shí bàn kè
一時	temporary/a period of time	yī shí
一時半刻	a short time	yī shí bàn kè
一會	a while	yī huì
一會兒	a while	yī huì r
一月	January	yī yuè
一杆进洞	(golf) hole in one	yī gān jìn dòng
一杆进洞	(golf) hole in one	yī gān jìn dòng
一条心	be of one mind/to be of one mind	yī tiáo xīn
一枝独秀	outstanding	yī zhī dú xiù
一枝獨秀	outstanding	yī zhī dú xiù
一样	the same/same	yī yàng
